,Service_Year,OMH_Region_Code,OMH_Region_Label,County_Label,Age_Group,Rate_Code_Group,Recipient_Count_By_County,Count_Of_Recipients_By_Rate_Code_Group_And_County,Units_Total,Paid_Claim_Total
0,2016,1,Western NY,Allegany,ADULT,Clinic Treatment,435,323,3023,301130
1,2016,1,Western NY,Allegany,ADULT,Community Residence,435,18,141,326026
2,2016,1,Western NY,Allegany,ADULT,Health Home,435,37,168,79744
3,2016,1,Western NY,Allegany,ADULT,Personalized Recovery Oriented Services,435,118,1080,462192
4,2016,1,Western NY,Allegany,ADULT,"Targeted Case Management (ICM, BCM, SCM)",435,1,3,1776
5,2016,1,Western NY,Allegany,CHILD,Clinic Treatment,150,95,620,63769
6,2016,1,Western NY,Allegany,CHILD,Community Residence,150,1,12,8309
7,2016,1,Western NY,Allegany,CHILD,"Targeted Case Management (ICM, BCM, SCM)",150,71,405,197685
8,2016,1,Western NY,Cattaraugus,ADULT,Clinic Treatment,1164,680,3989,527434
9,2016,1,Western NY,Cattaraugus,ADULT,Community Residence,1164,94,753,2367149
10,2016,1,Western NY,Cattaraugus,ADULT,Continuing Day Treatment,1164,37,5563,281818
11,2016,1,Western NY,Cattaraugus,ADULT,Health Home,1164,80,428,196357
12,2016,1,Western NY,Cattaraugus,ADULT,Personalized Recovery Oriented Services,1164,164,1948,766951
13,2016,1,Western NY,Cattaraugus,ADULT,Psychiatric Inpatient,1164,265,1538,1325680
14,2016,1,Western NY,Cattaraugus,ADULT,"Targeted Case Management (ICM, BCM, SCM)",1164,6,31,14922
15,2016,1,Western NY,Cattaraugus,CHILD,Clinic Treatment,416,286,1901,233341
16,2016,1,Western NY,Cattaraugus,CHILD,Community Residence,416,18,124,913928
17,2016,1,Western NY,Cattaraugus,CHILD,Home and Community Based Services Waiver (HCBS),416,82,1315,1259214
18,2016,1,Western NY,Cattaraugus,CHILD,"Targeted Case Management (ICM, BCM, SCM)",416,102,676,317981
19,2016,1,Western NY,Chautauqua,ADULT,Assertive Community Treatment,2407,56,371,562442
20,2016,1,Western NY,Chautauqua,ADULT,Clinic Treatment,2407,1858,11719,1200396
21,2016,1,Western NY,Chautauqua,ADULT,Community Residence,2407,158,1181,3486712
22,2016,1,Western NY,Chautauqua,ADULT,Health Home,2407,119,897,336955
23,2016,1,Western NY,Chautauqua,ADULT,Personalized Recovery Oriented Services,2407,307,2588,889971
24,2016,1,Western NY,Chautauqua,ADULT,Psychiatric Inpatient,2407,196,1150,1078326
25,2016,1,Western NY,Chautauqua,ADULT,"Targeted Case Management (ICM, BCM, SCM)",2407,6,28,9222
26,2016,1,Western NY,Chautauqua,CHILD,Clinic Treatment,745,656,4771,566749
27,2016,1,Western NY,Chautauqua,CHILD,Community Residence,745,9,53,47919
28,2016,1,Western NY,Chautauqua,CHILD,Psychiatric Inpatient,745,77,1101,791151
29,2016,1,Western NY,Chautauqua,CHILD,"Targeted Case Management (ICM, BCM, SCM)",745,68,330,117075
30,2016,1,Western NY,Chemung,ADULT,Assertive Community Treatment,1832,91,418,588964
31,2016,1,Western NY,Chemung,ADULT,Clinic Treatment,1832,1329,10446,1033181
32,2016,1,Western NY,Chemung,ADULT,Community Residence,1832,68,524,1014169
33,2016,1,Western NY,Chemung,ADULT,Health Home,1832,51,221,86676
34,2016,1,Western NY,Chemung,ADULT,Personalized Recovery Oriented Services,1832,239,3668,1184039
35,2016,1,Western NY,Chemung,ADULT,Psychiatric Inpatient,1832,285,1841,1393886
36,2016,1,Western NY,Chemung,ADULT,Psychiatric Inpatient OMH,1832,24,3340,4172442
37,2016,1,Western NY,Chemung,CHILD,Clinic Treatment,677,520,4441,529838
38,2016,1,Western NY,Chemung,CHILD,Community Residence,677,25,145,1009314
39,2016,1,Western NY,Chemung,CHILD,Day Treatment,677,37,4497,1639315
40,2016,1,Western NY,Chemung,CHILD,Psychiatric Inpatient OMH,677,143,4269,6693943
41,2016,1,Western NY,Chemung,CHILD,"Targeted Case Management (ICM, BCM, SCM)",677,15,74,41390
42,2016,1,Western NY,Erie,ADULT,Assertive Community Treatment,10959,250,1929,2736004
43,2016,1,Western NY,Erie,ADULT,Clinic Treatment,10959,8319,80723,7504544
44,2016,1,Western NY,Erie,ADULT,Community Residence,10959,512,4989,12886777
45,2016,1,Western NY,Erie,ADULT,Comprehensive Psychiatric Emergency Program,10959,1146,1744,1290912
46,2016,1,Western NY,Erie,ADULT,Continuing Day Treatment,10959,328,40633,2004998
47,2016,1,Western NY,Erie,ADULT,Health Home,10959,1065,5548,2333212
48,2016,1,Western NY,Erie,ADULT,Intensive Psychiatric Rehabilitation Treatment,10959,35,1819,239291
49,2016,1,Western NY,Erie,ADULT,Partial Hospitalization,10959,76,741,92235
50,2016,1,Western NY,Erie,ADULT,Personalized Recovery Oriented Services,10959,709,9110,3463230
